# HMDB00228 (Phenol) HNMR Peaklists:
Table of Multiplets
No. 	H's 	Type 	J (Hz) 	Atom1 	Multiplet1 	 (ppm)
1 	2 	d 	7.48 	6, 2 	M03 	[6.89 .. 6.96]
2 	1 	t 	7.48 	4 	M02 	[6.96 .. 7.03]
3 	2 	m 	- 	5, 3 	M01 	[7.28 .. 7.37]


Table of Assignments
No. 	Atom 	Multiplet
1 	6 	M03
2 	2 	M03
3 	4 	M02
4 	5 	M01
5 	3 	M01


Table of Peaks
No. 	(ppm) 	(Hz) 	Height
1 	6.926 	4157.64 	0.3936
2 	6.938 	4165.12 	0.3828
3 	6.970 	4184.05 	0.1128
4 	6.994 	4199.02 	0.1232
5 	7.307 	4386.52 	0.2831
6 	7.310 	4388.72 	0.1036
7 	7.321 	4395.33 	0.3538
8 	7.334 	4402.81 	0.2642


 


# HMDB00228 (Phenol) 2D HSQC Peaklist:

         F2[ppm]         F1[ppm]     Intensity     

     1   7.3203          132.6356      6116564.00
     2   6.9818          123.1366      3877004.00
     3   6.9323          118.1925      7049715.00


 


