# HMDB00241 (Protoporphyrin IX) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	3.15	0.1705
2	3.17	0.3361
3	3.59	0.5419
4	3.67	0.4592
5	3.69	0.4673
6	4.30	0.1388
7	4.32	0.2829
8	6.19	0.1574
9	6.21	0.1586
10	6.41	0.1232
11	6.44	0.1380
12	8.43	0.0789
13	8.45	0.1114
14	8.48	0.0841
15	10.15	0.1424
16	10.18	0.1566
17	10.20	0.2503

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	J (Hz)		Atom1	Multiplet1	 (ppm)
1	3.16		4	br. s.	-	26, 35		M07		[3.05 .. 3.23]
2	3.63		13	m	-	33, 29, 32, 40	M06		[3.50 .. 3.90]
3	4.31		4	br. s.	-	25, 34		M05		[4.15 .. 4.50]
4	6.20		2	d	10.89	39, 31		M04		[6.08 .. 6.31]
5	6.42		2	d	19.37	39, 31		M03		[6.33 .. 6.54]
6	8.44		2	t	-	30, 38		M02		[8.30 .. 8.62]
7	10.17		4	m	-	24, 12, 6, 18	M01		[9.96 .. 10.44]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	26	3.16		M07
2	35	3.16		M07
3	33	3.63		M06
4	29	3.63		M06
5	32	3.63		M06
6	40	3.63		M06
7	25	4.31		M05
8	34	4.31		M05
9	39	6.20		M04
10	31	6.20		M04
11	39	6.42		M03
12	31	6.42		M03
13	30	8.44		M02
14	38	8.44		M02
15	24	10.17		M01
16	12	10.17		M01
17	6	10.17		M01
18	18	10.17		M01


 


# HMDB00241 (Protoporphyrin IX) 2D HSQC Peaklist:
     #   F2[ppm]           F1[ppm]       Intensity       
     1  10.2064           97.2697      1967269.94
     2   8.4564          129.9454       943729.44
     3   6.4223          120.9948       375738.47
     4   6.2052          120.9948       860350.88
     5   4.3230           21.2448      2390288.28
     6   3.6879           12.4787       701610.00
     7   3.5980           11.1623      1371440.06
     8   3.1737           36.6988      2721477.09
    
 


