# HMDB00561 (B-Carotene) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	1.03	0.4039
2	1.46	0.0277
3	1.46	0.0228
4	1.47	0.0283
5	1.47	0.0244
6	1.48	0.0349
7	1.59	0.0102
8	1.60	0.0095
9	1.60	0.0241
10	1.61	0.0187
11	1.61	0.0268
12	1.62	0.0177
13	1.62	0.0204
14	1.63	0.0084
15	1.64	0.0086
16	1.72	0.1368
17	1.97	0.2214
18	2.01	0.0173
19	2.02	0.0310
20	2.03	0.0155
21	6.12	0.0121
22	6.14	0.0525
23	6.16	0.0408
24	6.19	0.0066
25	6.24	0.0104
26	6.26	0.0109
27	6.34	0.0211
28	6.37	0.0250
29	6.60	0.0020
30	6.62	0.0173
31	6.62	0.0214
32	6.63	0.0136
33	6.64	0.0161
34	6.64	0.0116
35	6.65	0.0111
36	6.67	0.0090

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	Atom1			Multiplet1	 (ppm)
1	1.03		12	s	8, 7, 39, 40		M10		[1.00 .. 1.05]
2	1.46		4	m	2, 31			M09		[1.43 .. 1.50]
3	1.59		4	m	30, 1			M08		[1.58 .. 1.65]
4	1.72		6	s	38, 33			M07		[1.69 .. 1.74]
5	1.97		12	s	34, 35, 37, 36		M06		[1.95 .. 1.99]
6	2.01		4	t	6, 29			M05		[2.00 .. 2.06]
7	6.14		6	m	10, 25, 23, 12, 26, 9	M04		[6.10 .. 6.20]
8	6.24		2	d	16, 19			M03		[6.22 .. 6.29]
9	6.34		2	d	21, 14			M02		[6.31 .. 6.40]
10	6.60		4	m	18, 17, 22, 13		M01	[6.58 .. 6.70]
	

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	8	1.03		M10
2	7	1.03		M10
3	39	1.03		M10
4	40	1.03		M10
5	2	1.46		M09
6	31	1.46		M09
7	30	1.59		M08
8	1	1.59		M08
9	38	1.72		M07
10	33	1.72		M07
11	34	1.97		M06
12	35	1.97		M06
13	37	1.97		M06
14	36	1.97		M06
15	6	2.01		M05
16	29	2.01		M05
17	10	6.14		M04
18	25	6.14		M04
19	23	6.14		M04
20	12	6.14		M04
21	26	6.14		M04
22	9	6.14		M04
23	16	6.24		M03
24	19	6.24		M03
25	21	6.34		M02
26	14	6.34		M02
27	18	6.60		M01
28	17	6.60		M01
29	22	6.60		M01
30	13	6.60		M01


 


# HMDB00561 (B-Carotene) 2D HSQC Peaklist:
	#	F2[ppm]	F1[ppm]	Intensity
	1	6.6469	125.0426	7182815.25
	2	6.6257	130.0246	7054511.25
	3	6.3660	137.2682	10447923.25
	4	6.3411	137.2355	11587629.75
	5	6.2479	132.4501	15800899.75
	6	6.1509	126.6814	6245275.75
	7	6.1497	130.8768	9969929.00
	8	6.1460	137.7927	12390726.50
	9	2.0191	33.1772	25736966.00
	10	1.9735	12.8263	16354825.50
	11	1.7161	21.7761	43007753.75
	12	1.6195	19.2679	14981812.00
	13	1.4667	39.6189	22062978.50
	14	1.0296	29.0158	104489315.75

 


