# HMDB00626 (Deoxycholic acid) HNMR Peaklists:
Table of Peaks
No.	(ppm)	(Hz)	Height
1	0.70	421.9	0.6891
2	0.91	547.7	0.7018
3	0.95	566.8	0.3265
4	0.96	573.3	0.3582
5	0.98	587.5	0.0442
6	0.98	590.5	0.0426
7	1.00	601.8	0.0248
8	1.01	604.6	0.0221
9	1.07	641.4	0.0325
10	1.09	653.5	0.0516
11	1.10	659.2	0.0511
12	1.26	753.8	0.0885
13	1.28	767.0	0.0711
14	1.29	771.8	0.0531
15	1.29	776.0	0.0631
16	1.31	785.3	0.0564
17	1.45	871.7	0.0561
18	1.47	879.8	0.1119
19	1.47	883.6	0.1053
20	1.48	890.3	0.1244
21	1.50	897.8	0.0999
22	1.56	933.1	0.0327
23	1.56	935.5	0.0331
24	1.60	960.6	0.0991
25	1.61	967.1	0.1363
26	1.63	976.9	0.1098
27	1.64	986.5	0.0290
28	1.70	1019.1	0.0645
29	1.72	1028.8	0.0949
30	1.72	1032.1	0.0660
31	1.74	1040.7	0.1470
32	1.75	1052.3	0.1136
33	1.77	1063.0	0.0207
34	1.78	1068.1	0.0152
35	1.86	1113.7	0.0690
36	1.88	1126.9	0.0380
37	2.07	1243.1	0.0284
38	2.08	1250.1	0.0337
39	2.09	1252.6	0.0321
40	2.10	1257.0	0.0427
41	2.10	1259.5	0.0324
42	2.11	1264.0	0.0418
43	2.11	1266.4	0.0408
44	2.12	1273.4	0.0284
45	2.20	1317.8	0.0345
46	2.21	1323.0	0.0409
47	2.21	1327.7	0.0403
48	2.22	1332.1	0.0522
49	2.23	1336.8	0.0279
50	2.24	1341.5	0.0256
51	2.25	1346.7	0.0220
52	3.62	2170.5	0.0150
53	3.63	2175.1	0.0323
54	3.64	2181.5	0.0395
55	3.65	2186.2	0.0590
56	3.65	2190.8	0.0393
57	3.66	2197.3	0.0285
58	3.67	2201.6	0.0127
59	4.06	2433.0	0.1249

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	J (Hz)	Atom1	Multiplet1	(ppm)
1	0.70	3	m	-	19	M06	[0.66 .. 0.74]
2	0.91	3	m	-	25	M07	[0.90 .. 0.92]
3	0.95	4	m	-	14, 27	M08	[0.93 .. 0.97]
4	1.43	25	m	-	13, 11, 10, 17, 16, 7, 8, 15, 6, 5, 4, 3, 20, 21	M09	[0.97 .. 1.79]
5	1.87	1	m	-		M05	[1.81 .. 1.91]
6	2.10	1	ddd	13.86, 9.40, 7.06	22	M04	[2.06 .. 2.13]
7	2.22	1	td	9.39, 4.93	22	M03	[2.19 .. 2.26]
8	3.65	1	m	-	12	M02	[3.60 .. 3.68]
9	4.06	1	t	-	1	M01	[3.99 .. 4.11]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	19	0.70	M06
2	25	0.91	M07
3	14	0.95	M08
4	27	0.95	M08
5	13	1.43	M09
6	11	1.43	M09
7	10	1.43	M09
8	17	1.43	M09
9	16	1.43	M09
10	7	1.43	M09
11	8	1.43	M09
12	15	1.43	M09
13	6	1.43	M09
14	5	1.43	M09
15	4	1.43	M09
16	3	1.43	M09
17	20	1.43	M09
18	21	1.43	M09
19	22	2.10	M04
20	22	2.22	M03
21	12	3.65	M02
22	1	4.06	M01

 


# HMDB00626 (Deoxycholic acid) 2D HSQC Peaklist:
	#	F2[ppm]	F1[ppm]	Intensity
	1	4.0413	75.9104	2221258.00
	2	3.6136	74.0589	1111455.00
	3	2.2338	36.8813	1097610.00
	4	2.0719	36.8813	941045.00
	5	1.9250	30.1588	600664.00
	6	1.8320	29.6654	393241.00
	7	1.8050	35.8945	550404.00
	8	1.7870	37.8064	881958.00
	9	1.7151	49.0311	772094.00
	10	1.6941	34.7843	676875.00
	11	1.6551	31.7623	729387.00
	12	1.6521	26.2733	513029.00
	13	1.5711	50.3263	667136.00
	14	1.5262	30.8372	919103.00
	15	1.5082	37.8681	631806.00
	16	1.4242	28.6786	696525.00
	17	1.4002	44.6522	869461.00
	18	1.3942	38.4848	980350.00
	19	1.3703	34.8460	728282.00
	20	1.3703	31.8856	446517.00
	21	1.3043	29.7887	709223.00
	22	1.2503	30.2204	606951.00
	23	1.1993	28.7403	436668.00
	24	1.0524	26.2733	368507.00
	25	0.9835	19.2424	1268391.00
	26	0.9775	37.8681	453364.00
	27	0.9205	25.5949	4481466.00
	28	0.7076	15.1719	1225373.00

 


