# HMDB00643 (Coproporphyrin I) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	3.28	0.0480
2	3.29	0.1110
3	3.32	0.0149
4	3.32	0.0089
5	3.33	0.0263
6	3.34	0.0125
7	3.34	0.0128
8	3.83	0.0551
9	3.85	0.2095
10	4.59	0.0366
11	4.60	0.0619
12	4.61	0.0324
13	8.08	0.0260

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	Atom1	Multiplet1	(ppm)
1	3.28	8	m	42, 32, 26, 36	M04	[3.26 .. 3.35]
2	3.84	12	br. s.	30, 40, 29, 39	M03	[3.82 .. 3.87]
3	4.59	8	m	31, 41, 35, 25	M02	[4.56 .. 4.64]
4	8.08	1	s	6, 18, 24, 12	M01	[8.07 .. 8.09]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	42	3.28	M04
2	32	3.28	M04
3	26	3.28	M04
4	36	3.28	M04
5	30	3.84	M03
6	40	3.84	M03
7	29	3.84	M03
8	39	3.84	M03
9	31	4.59	M02
10	41	4.59	M02
11	35	4.59	M02
12	25	4.59	M02
13	6	8.08	M01
14	18	8.08	M01
15	24	8.08	M01
16	12	8.08	M01


 


# HMDB00643 (Coproporphyrin I) 2D HSQC Peaklist:
     #        F2[ppm]           F1[ppm]     Intensity 
     1        8.0886          164.3016       209314.38
     2        4.6078           23.8835     27574417.94
     3         3.8514          13.2624     13651195.31
     4         3.3238          37.8188      6066904.44

 


