# HMDB01372 (Thiamine pyrophosphate) HNMR Peaklists:
Table of Peaks
No. (ppm) (Hz) Height
1 2.49 1497.7 1.0000
2 2.58 1549.1 0.8978
3 3.30 1981.4 0.0840
4 3.31 1987.1 0.1678
5 3.32 1992.8 0.0910
6 3.36 2017.4 0.2681
7 4.17 2506.0 0.0559
8 4.18 2512.0 0.1343
9 4.19 2518.3 0.1343
10 4.20 2524.2 0.0549
11 5.45 3269.1 0.3844
12 8.04 4825.3 0.3385
13 9.41 5648.9 0.2657
 


# HMDB01372 (Thiamine pyrophosphate) 2D HSQC Peaklist:
	#	F2[ppm]	F1[ppm]	Intensity
	1	9.4124	156.6000	1380870.00
	2	8.0356	158.8798	38642.00
	3	5.4533	53.5390	17464010.00
	4	4.1932	66.8761	23106562.00
	5	3.3618	51.6337	5405598.00
	6	3.3153	30.1991	29491172.00
	7	2.4994	26.3884	49396348.00
	8	2.5820	13.7182	2885436.00

 


