# HMDB01917 (Digoxin) HNMR Peaklists:
Table of Peaks
No.	(ppm)	(Hz)	Height
1	0.781	468.82	0.0791
2	0.948	569.01	0.0737
3	1.192	715.81	0.0416
4	1.203	722.08	0.0447
5	1.207	724.72	0.0465
6	1.218	730.99	0.0448
7	1.229	738.03	0.0502
8	1.240	744.31	0.0534
9	1.255	753.22	0.0076
10	1.262	757.68	0.0056
11	1.266	759.82	0.0057
12	1.275	765.49	0.0076
13	1.286	771.82	0.0027
14	1.296	777.98	0.0027
15	1.433	860.34	0.0009
16	1.442	865.79	0.0030
17	1.447	868.76	0.0032
18	1.456	873.82	0.0034
19	1.463	878.28	0.0048
20	1.477	886.59	0.0075
21	1.483	890.33	0.0086
22	1.499	899.90	0.0011
23	1.504	902.93	0.0012
24	1.563	938.20	0.0011
25	1.568	941.06	0.0013
26	1.570	942.65	0.0013
27	1.574	945.18	0.0013
28	1.587	952.72	0.0061
29	1.593	956.30	0.0079
30	1.599	960.20	0.0049
31	1.606	964.27	0.0070
32	1.612	967.74	0.0079
33	1.621	972.86	0.0042
34	1.625	975.77	0.0041
35	1.632	979.90	0.0055
36	1.638	983.42	0.0056
37	1.641	985.35	0.0053
38	1.647	988.87	0.0044
39	1.655	993.44	0.0034
40	1.661	997.01	0.0038
41	1.670	1002.35	0.0043
42	1.689	1014.12	0.0029
43	1.694	1017.04	0.0035
44	1.707	1024.69	0.0075
45	1.712	1027.49	0.0102
46	1.717	1031.01	0.0044
47	1.723	1034.64	0.0081
48	1.729	1038.17	0.0156
49	1.734	1040.81	0.0118
50	1.738	1043.67	0.0077
51	1.746	1048.18	0.0108
52	1.750	1050.77	0.0139
53	1.755	1053.52	0.0087
54	1.756	1054.29	0.0084
55	1.762	1057.53	0.0070
56	1.765	1059.62	0.0060
57	1.773	1064.25	0.0066
58	1.778	1067.16	0.0049
59	1.784	1070.74	0.0029
60	1.788	1073.32	0.0028
61	1.807	1084.99	0.0038
62	1.811	1086.91	0.0037
63	1.830	1098.47	0.0016
64	1.834	1100.94	0.0016
65	1.855	1113.60	0.0008
66	1.863	1118.49	0.0016
67	1.872	1123.83	0.0010
68	1.880	1128.51	0.0023
69	1.887	1133.02	0.0037
70	1.894	1137.04	0.0027
71	1.904	1143.14	0.0021
72	1.911	1147.11	0.0031
73	1.918	1151.51	0.0060
74	1.922	1153.65	0.0067
75	1.924	1155.03	0.0075
76	1.927	1156.90	0.0059
77	1.932	1160.03	0.0029
78	1.934	1161.14	0.0026
79	1.944	1167.24	0.0067
80	1.947	1168.67	0.0051
81	1.951	1171.26	0.0063
82	1.965	1179.90	0.0036
83	1.972	1183.64	0.0029
84	1.983	1190.68	0.0023
85	1.988	1193.27	0.0032
86	1.995	1197.94	0.0085
87	1.999	1200.14	0.0098
88	2.001	1201.30	0.0111
89	2.005	1203.45	0.0110
90	2.018	1211.59	0.0082
91	2.022	1213.73	0.0089
92	2.024	1215.05	0.0080
93	2.028	1217.20	0.0073
94	2.115	1269.69	0.0012
95	2.118	1271.72	0.0013
96	2.131	1279.26	0.0028
97	2.138	1283.39	0.0027
98	2.148	1289.39	0.0023
99	2.152	1291.81	0.0033
100	2.167	1300.72	0.0013
101	3.136	1882.66	0.0085
102	3.141	1885.80	0.0089
103	3.152	1892.24	0.0090
104	3.157	1895.32	0.0093
105	3.204	1923.60	0.0073
106	3.209	1926.51	0.0074
107	3.221	1933.83	0.0116
108	3.225	1936.31	0.0120
109	3.238	1943.68	0.0081
110	3.243	1946.60	0.0081
111	3.316	1990.45	0.0080
112	3.325	1995.89	0.0047
113	3.327	1997.38	0.0050
114	3.331	1999.74	0.0055
115	3.343	2006.84	0.0050
116	3.369	2022.74	0.0047
117	3.376	2026.98	0.0053
118	3.389	2034.68	0.0050
119	3.396	2038.92	0.0048
120	3.747	2249.42	0.0017
121	3.757	2255.64	0.0068
122	3.763	2258.89	0.0025
123	3.768	2262.02	0.0079
124	3.770	2263.29	0.0075
125	3.773	2265.16	0.0078
126	3.781	2269.62	0.0071
127	3.784	2271.54	0.0084
128	3.786	2272.59	0.0070
129	3.796	2279.02	0.0057
130	3.804	2283.87	0.0020
131	3.806	2285.08	0.0019
132	3.814	2289.92	0.0059
133	3.820	2293.27	0.0019
134	3.825	2296.14	0.0061
135	3.830	2299.49	0.0058
136	3.835	2302.24	0.0020
137	3.841	2305.71	0.0055
138	3.851	2311.93	0.0014
139	3.997	2399.68	0.0058
140	4.002	2402.71	0.0159
141	4.007	2405.68	0.0173
142	4.228	2538.06	0.0040
143	4.233	2541.08	0.0120
144	4.237	2543.72	0.0169
145	4.242	2546.42	0.0127
146	4.246	2549.01	0.0044
147	4.881	2930.07	0.0066
148	4.884	2931.94	0.0107
149	4.887	2933.65	0.0057
150	4.897	2939.59	0.0068
151	4.900	2941.52	0.0126
152	4.903	2943.33	0.0078
153	4.916	2950.98	0.0210
154	4.928	2958.74	0.0067
155	4.932	2960.72	0.0065
156	4.956	2975.02	0.0089
157	4.958	2976.34	0.0095
158	4.986	2993.40	0.0040
159	4.989	2994.83	0.0038
160	5.901	3542.33	0.0156

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	J (Hz)	Atom1	Multiplet1	(ppm)
1	0.78	3	s	-	48	M24	[0.76 .. 0.80]
2	0.95	3	s	-	46	M23	[0.93 .. 0.96]
3	1.20	3	d	6.27	43	M22	[1.19 .. 1.20]
4	1.21	3	d	-	22	M21	[1.20 .. 1.22]
5	1.23	3	d	6.27	42	M20	[1.22 .. 1.25]
6	1.25	3	br. s.	-	38, 35, 34	M19	[1.25 .. 1.30]
7	1.43	3	m	-	37, 26	M18	[1.43 .. 1.52]
8	1.56	5	m	-	34, 29, 27, 36	M17	[1.55 .. 1.68]
9	1.69	6	m	-	21, 3, 39, 38, 10	M16	[1.68 .. 1.78]
10	1.78	1	td	-	37	M15	[1.78 .. 1.84]
11	1.85	1	m	-	35	M14	[1.85 .. 1.90]
12	1.90	2	m	-	40, 21	M13	[1.90 .. 1.96]
13	1.97	1	m	-	39	M12	[1.96 .. 1.99]
14	2.00	2	m	-	3, 10	M11	[1.99 .. 2.04]
15	2.11	1	m	-	40	M10	[2.10 .. 2.18]
16	3.14	1	dd	-	19	M09	[3.13 .. 3.17]
17	3.20	2	td	-	5, 8	M08	[3.19 .. 3.25]
