# HMDB02086 (Adenosylcobalamin) HNMR Peaklists:
No. (ppm) (Hz) Height
1 0.46 276.8 0.0887
2 0.83 498.5 0.1334
3 0.89 531.7 0.0096
4 0.90 541.2 0.0112
5 0.91 545.0 0.0179
6 0.93 556.6 0.0114
7 0.94 562.4 0.0089
8 1.20 720.8 0.1123
9 1.21 727.2 0.1161
10 1.25 751.1 0.0153
11 1.26 757.5 0.0153
12 1.32 789.5 0.1298
13 1.35 810.1 0.0205
14 1.37 819.6 0.2957
15 1.39 832.9 0.0202
16 1.47 881.6 0.0150
17 1.49 896.4 0.0135
18 1.53 919.8 0.0230
19 1.55 928.9 0.0217
20 1.70 1021.8 0.1161
21 1.73 1038.4 0.0397
22 1.74 1043.7 0.0336
23 1.74 1046.5 0.0446
24 1.76 1054.7 0.0589
25 1.76 1059.2 0.0360
26 1.77 1062.8 0.0375
27 1.78 1071.2 0.0283
28 1.81 1086.0 0.0113
29 1.82 1090.3 0.0104
30 1.92 1150.0 0.0151
31 1.95 1172.5 0.0126
32 1.97 1182.3 0.0138
33 1.98 1187.4 0.0129
34 2.04 1226.3 0.0187
35 2.05 1231.2 0.0189
36 2.07 1243.9 0.0331
37 2.09 1254.0 0.0288
38 2.20 1320.0 0.2953
39 2.21 1328.6 0.0351
40 2.23 1338.2 0.0304
41 2.42 1453.8 0.2255
42 2.43 1461.3 0.0530
43 2.45 1472.5 0.2650
44 2.48 1491.8 0.0310
45 2.50 1498.8 0.0401
46 2.51 1509.7 0.0500
47 2.53 1518.5 0.0369
48 2.54 1526.0 0.0461
49 2.56 1534.5 0.0273
50 2.61 1568.7 0.0398
51 2.64 1582.6 0.0474
52 2.65 1592.3 0.0180
53 2.68 1607.7 0.0341
54 2.69 1614.9 0.0200
55 2.70 1621.6 0.0177
56 2.85 1709.2 0.0282
57 2.86 1719.9 0.0279
58 3.15 1889.7 0.0159
59 3.16 1897.2 0.0185
60 3.17 1904.7 0.0174
61 3.18 1911.2 0.0108
62 3.28 1968.7 0.0224
63 3.29 1973.9 0.0226
64 3.30 1980.2 0.0216
65 3.31 1985.1 0.0221
66 3.52 2113.3 0.0165
67 3.54 2126.3 0.0159
68 3.72 2235.5 0.0193
69 3.73 2239.2 0.0259
70 3.74 2244.2 0.0287
71 3.75 2250.7 0.0516
72 3.76 2256.9 0.0278
73 3.88 2326.7 0.0293
74 3.89 2337.1 0.0227
75 4.07 2443.4 0.0249
76 4.09 2454.9 0.0423
77 4.10 2463.5 0.0282
78 4.22 2533.7 0.0256
79 4.23 2536.7 0.0318
80 4.23 2540.8 0.0420
81 4.24 2544.2 0.0461
82 4.32 2591.5 0.0118
83 4.33 2597.1 0.0179
84 4.33 2598.1 0.0202
85 4.34 2602.7 0.0197
86 4.34 2605.0 0.0205
87 4.35 2610.6 0.0114
88 4.53 2719.1 0.0269
89 4.54 2724.6 0.0299
90 4.54 2728.2 0.0284
91 4.71 2824.7 0.0141
92 4.71 2825.1 0.0147
93 4.71 2828.2 0.0112
94 4.71 2829.2 0.0154
95 4.71 2829.6 0.0145
96 4.72 2830.7 0.0118
97 4.72 2833.2 0.0175
98 4.72 2833.7 0.0180
99 4.72 2834.1 0.0162
100 4.72 2835.2 0.0131
101 4.73 2836.7 0.0183
102 4.73 2837.2 0.0185
103 4.73 2837.7 0.0187
104 4.73 2838.1 0.0178
105 4.73 2839.7 0.0118
106 4.73 2840.2 0.0128
107 4.73 2840.8 0.0140
108 4.73 2841.2 0.0143
109 4.73 2842.2 0.0102
110 4.74 2845.2 0.0138
111 4.74 2845.7 0.0137
112 5.56 3335.8 0.0594
113 5.56 3339.1 0.0649
114 5.92 3551.9 0.1046
115 6.23 3737.9 0.0830
116 6.24 3744.0 0.0564
117 6.24 3747.2 0.0632
118 6.26 3758.7 0.0341
119 6.40 3844.6 0.0256
120 6.85 4109.6 0.0195
121 6.89 4135.3 0.0157
122 6.93 4159.0 0.1158
123 6.98 4187.5 0.0236
124 7.04 4224.9 0.0160
125 7.15 4291.8 0.1011
126 7.51 4507.0 0.0158
127 7.61 4570.8 0.0133
128 7.76 4658.2 0.0202
129 7.85 4710.1 0.0137
130 7.94 4764.4 0.0089
131 8.01 4809.9 0.1326
132 8.18 4911.4 0.0154
133 8.19 4917.7 0.0295
134 8.20 4923.5 0.0171
135 8.22 4934.7 0.1030
 


# HMDB02086 (Adenosylcobalamin) 2D HSQC Peaklist:
     #     F2[ppm]           F1[ppm]       Intensity       

