# HMDB02097 (4-Ethylbenzoic acid) HNMR Peaklists:
Table of Peaks
No. (ppm) (Hz) Height
1 0.00 0.0 1.0000
2 1.20 719.3 0.2958
3 1.21 726.9 0.6260
4 1.22 734.6 0.2992
5 2.67 1602.7 0.0681
6 2.68 1610.3 0.1924
7 2.70 1618.0 0.1894
8 2.71 1625.6 0.0655
9 7.34 4405.0 0.1928
10 7.35 4413.0 0.2142
11 7.80 4680.3 0.0326
12 7.80 4682.4 0.2396
13 7.80 4684.0 0.1006
14 7.81 4688.7 0.0687
15 7.81 4690.6 0.2420
 


# HMDB02097 (4-Ethylbenzoic acid) 2D HSQC Peaklist:
     #     F2[ppm]           F1[ppm]       Intensity      

     1     7.8076          131.7564      5179978.00
     2     7.3439          130.3803      5136838.00
     3     2.6909           30.7991      2537532.00
     4     1.2203           17.3585       534442.00

 


