# HMDB02108 (Methylcysteine) HNMR Peaklists:
No. (ppm) (Hz) Height
1 2.15 1291.7 1.0000
2 3.00 1798.6 0.0461
3 3.01 1806.0 0.0460
4 3.02 1813.4 0.0890
5 3.03 1820.8 0.0921
6 3.07 1842.4 0.0914
7 3.08 1846.8 0.0966
8 3.09 1857.2 0.0479
9 3.10 1861.6 0.0466
10 3.94 2362.8 0.0841
11 3.94 2367.2 0.0923
12 3.95 2370.1 0.0869
13 3.96 2374.5 0.0799
 


# HMDB02108 (Methylcysteine) 2D HSQC Peaklist:
     #    F2[ppm]         F1[ppm]       Intensity       

     1     3.9428           55.9966     17661756.00
     2     3.0866           37.1243      5612440.00
     3     3.0155           37.1243     11811564.00
     4     2.1491           17.1888      6194554.00

 


