# HMDB02364 (Oleanolic acid) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	0.66	0.0124
2	0.67	0.4123
3	0.69	0.0874
4	0.72	0.3792
5	0.85	0.3705
6	0.87	0.6524
7	0.89	0.3817
8	0.98	0.0334
9	1.00	0.0357
10	1.04	0.0309
11	1.06	0.0344
12	1.09	0.3559
13	1.12	0.0309
14	1.14	0.0347
15	1.20	0.0036
16	1.23	0.0324
17	1.25	0.0407
18	1.30	0.0415
19	1.32	0.0631
20	1.34	0.0309
21	1.39	0.0250
22	1.41	0.0363
23	1.43	0.0605
24	1.44	0.0893
25	1.48	0.1101
26	1.49	0.1298
27	1.51	0.0532
28	1.58	0.0420
29	1.61	0.0744
30	1.63	0.0521
31	1.65	0.0320
32	1.65	0.0329
33	1.67	0.0164
34	1.67	0.0164
35	1.80	0.0690
36	1.82	0.0705
37	1.89	0.0196
38	1.91	0.0315
39	1.93	0.0132
40	1.93	0.0140
41	2.73	0.0361
42	2.75	0.0301
43	2.75	0.0338
44	2.98	0.0153
45	2.99	0.0317
46	2.99	0.0370
47	3.00	0.0371
48	3.01	0.0238
49	5.16	0.0783

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	J (Hz)	Atom1			Multiplet1	(ppm)
1	0.68		8	m	-	13, 30, 26		M12		[0.63 .. 0.76]
2	0.87		13	t	12.63	27, 24, 23, 29, 9		M11		[0.81 .. 0.94]
3	1.09		6	m	-	20, 2, 25, 14		M10		[0.96 .. 1.18]
4	1.20		1	d	-	17			M09		[1.18 .. 1.27]
5	1.31		2	m	-	16, 14			M08		[1.27 .. 1.37]
6	1.44		8	m	-	17, 15, 10, 16, 19, 9, 7	M07		[1.36 .. 1.54]
7	1.60		3	m	-	2, 15, 20		M06		[1.56 .. 1.71]
8	1.81		2	d	8.58	22			M05		[1.77 .. 1.85]
9	1.93		1	m	-	19			M04		[1.86 .. 1.97]
10	2.73		1	m	-	3			M03		[2.69 .. 2.79]
11	2.98		1	m	-	11			M02		[2.95 .. 3.05]
12	5.16		1	br. s.	-	21			M01		[5.11 .. 5.21]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	13	0.68		M12
2	30	0.68		M12
3	26	0.68		M12
4	27	0.87		M11
5	24	0.87		M11
6	23	0.87		M11
7	29	0.87		M11
8	9	0.87		M11
9	20	1.09		M10
10	2	1.09		M10
11	25	1.09		M10
12	14	1.09		M10
13	17	1.20		M09
14	16	1.31		M08
15	14	1.31		M08
16	17	1.44		M07
17	15	1.44		M07
18	10	1.44		M07
19	16	1.44		M07
20	19	1.44		M07
21	9	1.44		M07
22	7	1.44		M07
23	2	1.60		M06
24	15	1.60		M06
25	20	1.60		M06
26	22	1.81		M05
27	19	1.93		M04
28	3	2.73		M03
29	11	2.98		M02
30	21	5.16		M01


 


# HMDB02364 (Oleanolic acid) 2D HSQC Peaklist:
     #  F2[ppm]           F1[ppm]       Intensity       
     1  5.1593          121.3534      8145185.44
     2  2.9962           76.6741      4863645.88
     3  2.7403           40.5226      2588646.75
     4  1.9109           22.4810      2236764.81
     5  1.8113           22.5859      6444560.75
     6  1.6470           26.8882      2100062.81
     7  1.6116           31.8545      2637692.94
     8  1.6057           45.4763      3055290.19
     9  1.4942           46.8016      4264823.06
    10  1.4883           37.8406      1898810.38
    11  1.4775           22.4814      1590614.25
    12  1.4768           17.9110      2313502.13
    13  1.4588           26.8702      2876732.69
    14  1.4327           31.8542      2729130.06
    15  1.4069           32.1905      2505302.94
    16  1.3183           33.1842      2504038.25
    17  1.3125           17.9122      1582859.06
    18  1.2351           32.1892      2240865.06
    19  1.1303           33.1825      2183037.06
    20  1.0929           25.3914     18537203.94
    21  1.0482           45.4742      1867974.13
    22  0.9910           26.8870      1548856.88
    23  0.8971           37.8392      2364488.63
    24  0.8959           28.0565     18995234.94
    25  0.8726           23.2278     21997484.81
    26  0.8726           32.5258     18495071.81
    27  0.8561           14.9283      1594986.81
    28  0.7245           16.5883      7334783.31
    29  0.6754           15.9213      2736855.19
    30  0.6790           54.5858      2591573.44

 


