# HMDB03217 (Genistein) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	6.38	0.6577
2	6.39	0.7584
3	6.94	0.3351
4	6.95	0.3356
5	6.95	0.3388
6	7.30	0.3613
7	7.31	0.3180
8	7.62	0.4178

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	J (Hz)	Atom1	Multiplet1	 (ppm)
1	6.38		1	s	-	9	M05		[6.38 .. 6.38]
2	6.39		1	s	-	7	M04		[6.38 .. 6.39]
3	6.95		2	d	0.72	16, 12	M03		[6.90 .. 6.97]
4	7.30		2	d	8.31	15, 13	M02		[7.27 .. 7.34]
5	7.62		1	s	-	2	M01		[7.59 .. 7.64]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	9	6.38			M05
2	7	6.39			M04
3	16	6.95			M03
4	12	6.95			M03
5	15	7.30			M02
6	13	7.30			M02
7	2	7.62			M01


 


# HMDB03217 (Genistein) 2D HSQC Peaklist:
     #        F2[ppm]           F1[ppm]     Intensity   
     1        7.6148          154.0271     24510133.25
     2        7.3032          131.1121     48155410.75
     3        6.9394          116.1784     46554664.50
     4        6.3849           94.5971     49306103.00
     5        6.3824           99.9130     49042805.13
     
 


