# HMDB03403 (Amylose) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
1	3.31	0.0126
2	3.33	0.0101
3	3.34	0.0086
4	3.36	1.0000
5	3.37	0.2004
6	3.55	0.0060
7	3.59	0.0084
8	3.60	0.0083
9	3.66	0.0147

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	Atom1		Multiplet1	(ppm)
1	3.36	15	s	10, 9, 8, 13, 17	M02	[3.20 .. 3.82]
2	5.12	1	br. s.	11		M01	[5.02 .. 5.22]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	10	3.36	M02
2	9	3.36	M02
3	8	3.36	M02
4	13	3.36	M02
5	17	3.36	M02
6	11	5.12	M01


 


# HMDB03403 (Amylose) 2D HSQC Peaklist:
     #  F2[ppm]           F1[ppm]       Intensity       
     1  5.1175           99.9288      2357393.22
     2  3.6622           73.0391      2120076.19
     3  3.6610           60.2471       926588.41
     4  3.5559           60.2471       905416.28
     5  3.5990           71.3825      1776840.56
     6  3.3575           78.3558      1592222.69
     7  3.3108           71.7033      1921149.66

 


