# HMDB03464 (4-Guanidinobutanoic acid) HNMR Peaklists:
No. (ppm) (Hz) Height
1 1.79 1075.1 0.1033
2 1.80 1082.3 0.3595
3 1.81 1089.4 0.5396
4 1.83 1096.7 0.4006
5 1.84 1104.1 0.1167
6 2.23 1337.1 0.5213
7 2.24 1344.4 1.0000
8 2.24 1346.0 0.1265
9 2.25 1351.8 0.4573
10 3.16 1898.1 0.3578
11 3.17 1905.2 0.5878
12 3.19 1912.4 0.3432
 


# HMDB03464 (4-Guanidinobutanoic acid) 2D HSQC Peaklist:
     #     F2[ppm]           F1[ppm]       Intensity       

     1   3.1795          43.4175       22757366.00
     2   2.2423          36.7983       24280532.00
     3   1.8190          27.3743       18738663.00

 


