# HMDB04815 (4-Hydroxy-3-methylbenzoic acid) HNMR Peaklists:
Table of Peaks
No. (ppm) (Hz) Height
1 2.23 1336.2 1.0000
2 6.90 4144.3 0.2448
3 6.92 4152.7 0.2507
4 7.63 4579.1 0.0874
5 7.63 4581.4 0.1092
6 7.64 4587.4 0.0816
7 7.65 4589.7 0.1048
8 7.69 4617.6 0.1443
9 7.69 4618.2 0.1423
10 7.70 4619.8 0.1493
 


# HMDB04815 (4-Hydroxy-3-methylbenzoic acid) 2D HSQC Peaklist:
     #     F2[ppm]           F1[ppm]       Intensity       

     1   7.6960          134.8775     34017238.00
     2   7.6443          131.1002     18257746.00
     3   6.9170          117.1631     20256098.00
     4   2.2614           17.9369      13377836.00
     5   2.1964           17.9369      12934016.00

 


